Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,RPG,APG,SPG,BPG,PPG
59,Gilbert Arenas,-,553,35.0,6.7,16.0,.421,2.0,5.6,.351,5.2,6.5,.803,3.2,3.0,0.8,3.1,3.9,5.3,1.6,0.2,20.6
60,Clyde Drexler,POR,1086,34.6,7.7,16.3,.472,0.8,2.4,.318,4.3,5.5,.788,2.8,3.0,2.4,3.7,6.1,5.6,2.0,0.7,20.4
61,Dan Issel,DEN,718,31.1,7.6,14.9,.506,0.0,0.2,.253,5.3,6.6,.797,2.0,2.8,2.3,5.6,7.9,2.5,1.0,0.6,20.4
62,Dave Bing,-,901,36.4,7.7,17.5,.441,0.0,0.0,.000,4.9,6.3,.775,2.7,2.9,1.1,1.9,3.8,6.0,1.3,0.2,20.3
63,World B. Free,-,886,30.4,7.3,16.1,.456,0.4,1.1,.337,5.3,7.1,.753,2.5,2.6,1.1,1.6,2.7,3.7,1.0,0.3,20.3
64,Lou Hudson,-,890,33.5,8.3,17.0,.489,0.0,0.0,.000,3.5,4.4,.797,1.6,2.7,1.2,1.9,4.4,2.7,1.4,0.3,20.2
65,Marques Johnson,-,691,34.3,8.3,16.0,.518,0.0,0.2,.152,3.5,4.7,.739,2.4,2.6,2.6,4.3,7.0,3.6,1.3,0.8,20.1
66,Walt Bellamy,-,1043,37.3,7.6,14.7,.516,0.0,0.0,.000,4.9,7.8,.632,0.0,3.4,3.4,6.2,13.7,2.4,0.7,0.6,20.1
67,Bob Lanier,-,959,33.5,8.1,15.7,.514,0.0,0.0,.154,3.9,5.1,.767,2.6,3.2,2.6,6.8,10.1,3.1,1.1,1.5,20.1
68,DeMar DeRozan *,-,804,34.2,7.2,15.8,.457,0.4,1.5,.283,5.2,6.3,.829,2.1,2.3,0.7,3.6,4.3,3.5,1.0,0.3,20.1
69,Mark Aguirre,DAL,923,30.0,7.8,16.1,.484,0.4,1.4,.312,4.0,5.4,.741,2.5,2.8,1.8,3.1,5.0,3.1,0.7,0.3,20.0
70,Kemba Walker *,-,651,33.9,6.9,16.5,.419,2.2,6.1,.361,4.0,4.7,.837,2.2,1.5,0.6,3.3,3.8,5.4,1.3,0.4,20.0
71,Paul George *,-,638,33.6,6.7,15.6,.433,2.4,6.4,.379,4.0,4.8,.847,2.6,2.7,0.9,5.5,6.4,3.3,1.7,0.4,19.9
72,Giannis Antetokounmpo *,MIL,513,32.6,7.2,13.8,.525,0.6,2.0,.285,4.8,6.6,.723,2.7,3.0,1.7,7.1,8.8,4.3,1.2,1.3,19.8
73,Mike Mitchell,-,759,32.3,8.4,17.0,.493,0.0,0.1,.213,3.0,3.8,.779,1.7,2.7,2.0,3.6,5.6,1.3,0.7,0.5,19.8
74,Kiki Vandeweghe,-,810,30.3,7.6,14.4,.525,0.3,0.7,.369,4.3,4.9,.872,1.6,1.9,1.1,2.3,3.4,2.1,0.6,0.3,19.7
75,Andrew Wiggins *,-,445,35.8,7.3,16.5,.442,1.2,3.6,.334,4.0,5.4,.734,2.1,2.2,1.3,3.1,4.3,2.3,1.0,0.6,19.7
76,Paul Pierce,BOS,1343,34.2,6.5,14.5,.445,1.6,4.3,.368,5.2,6.4,.806,2.6,2.7,0.8,4.8,5.6,3.5,1.3,0.6,19.7
77,Tracy McGrady,HOU,938,32.7,7.2,16.4,.435,1.2,3.4,.338,4.1,5.5,.746,2.2,1.8,1.4,4.2,5.6,4.4,1.2,0.9,19.6
78,LaMarcus Aldridge *,-,1000,34.4,7.9,16.1,.492,0.2,0.6,.315,3.6,4.4,.811,1.6,2.5,2.7,5.7,8.3,2.0,0.7,1.1,19.6
79,Magic Johnson,LAL,906,36.7,6.9,13.2,.520,0.4,1.2,.303,5.5,6.5,.848,3.9,2.3,1.8,5.5,7.2,11.2,1.9,0.4,19.5
80,Klay Thompson *,GSW,615,33.1,7.3,16.0,.459,2.9,7.0,.419,1.9,2.3,.848,1.7,2.1,0.4,3.0,3.5,2.3,0.9,0.5,19.5
81,Neil Johnston,GSW,516,35.5,6.4,14.4,.444,0.0,0.0,.000,6.6,8.6,.768,0.0,3.3,0.0,0.0,11.3,2.5,0.0,0.0,19.4
82,Stephon Marbury,-,846,37.7,6.8,15.7,.433,1.2,3.6,.325,4.5,5.7,.784,3.0,2.4,0.7,2.3,3.0,7.6,1.2,0.1,19.3
83,Chris Bosh,-,893,35.8,7.0,14.1,.494,0.3,1.0,.335,5.0,6.3,.799,2.0,2.4,2.2,6.3,8.5,2.0,0.8,1.0,19.2
84,Jack Twyman,SAC,823,31.8,7.6,16.9,.450,0.0,0.0,.000,4.1,5.3,.778,0.0,3.4,0.0,0.0,6.6,2.3,0.0,0.0,19.2
85,Hal Greer,PHI,1122,35.5,7.6,16.8,.452,0.0,0.0,.000,4.1,5.1,.801,0.0,3.4,0.0,0.0,5.0,4.0,0.0,0.0,19.2
86,Isiah Thomas,DET,979,36.3,7.3,16.2,.452,0.4,1.4,.290,4.1,5.4,.759,3.8,3.0,1.0,2.6,3.6,9.3,1.9,0.3,19.2
87,George Yardley,-,472,33.4,6.8,16.0,.422,0.0,0.0,.000,5.7,7.3,.780,0.0,3.0,0.0,0.0,8.9,1.7,0.0,0.0,19.2
88,Spencer Haywood,-,760,33.7,7.6,16.4,.465,0.0,0.0,.125,4.0,5.0,.800,2.2,2.9,2.6,5.6,9.3,1.8,0.6,1.1,19.2
89,Jamal Mashburn,MIA,611,37.3,7.0,16.7,.419,1.3,3.6,.345,3.8,5.0,.766,2.6,2.5,1.1,4.2,5.4,4.0,1.0,0.2,19.1
90,Tim Duncan,SAS,1392,34.0,7.4,14.6,.506,0.0,0.1,.179,4.2,6.1,.696,2.4,2.4,2.8,8.1,10.8,3.0,0.7,2.2,19.0
91,Jeff Malone,-,905,32.8,7.8,16.2,.483,0.1,0.4,.267,3.3,3.7,.871,1.7,1.9,0.6,2.0,2.6,2.4,0.6,0.1,19.0
92,Michael Redd,MIL,629,32.0,6.7,15.0,.447,1.7,4.4,.380,4.0,4.8,.838,1.5,1.6,1.0,2.8,3.8,2.1,0.9,0.1,19.0
93,Yao Ming,HOU,486,32.6,7.0,13.3,.524,0.0,0.0,.200,5.1,6.1,.833,2.7,3.3,2.5,6.7,9.2,1.6,0.4,1.9,19.0
94,John Wall *,WAS,573,35.9,6.9,15.9,.433,0.9,2.9,.324,4.3,5.5,.781,3.8,2.2,0.6,3.8,4.3,9.2,1.7,0.7,19.0
95,Brad Daugherty,CLE,548,36.5,7.0,13.1,.532,0.0,0.0,.143,5.0,6.7,.747,2.8,2.7,2.2,7.3,9.5,3.7,0.8,0.7,19.0
96,Clark Kellogg,IND,260,32.7,7.7,15.5,.497,0.1,0.3,.338,3.4,4.5,.757,2.8,3.3,3.3,6.3,9.5,2.9,1.5,0.4,18.9
97,Amar'e Stoudemire,-,846,31.0,7.0,13.0,.537,0.0,0.2,.236,4.9,6.4,.761,2.3,3.2,2.4,5.4,7.8,1.2,0.8,1.2,18.9
98,Walter Davis,-,1033,27.9,7.9,15.4,.512,0.2,0.7,.272,3.0,3.6,.851,2.5,2.4,0.9,2.1,3.0,3.8,1.2,0.1,18.9
99,Walt Frazier,-,825,37.5,7.4,15.2,.490,0.0,0.3,.000,4.0,5.1,.786,2.1,2.6,1.1,4.2,5.9,6.1,1.9,0.2,18.9
100,Ray Allen,MIL,1300,35.6,6.6,14.6,.452,2.3,5.7,.400,3.4,3.8,.894,2.1,2.2,0.9,3.1,4.1,3.4,1.1,0.2,18.9
